Email Address,URL,Event Type,Engagement Time (sec),Traffic Medium,Traffic Source,Date
adamsmarie@hopkinsporterandjimenez.com,https://assetmanagement.com/products/fixed-income,Product View,204,Email,Newsletter Campaign,16-09-2024
brandontran@parsonscarlsonandyork.com,https://assetmanagement.com/video/market-trends,Video View,33,Referral,Newsletter,01-01-2025
stefanierice@huntandsons.com,https://assetmanagement.com/contact-us,Form Submission,73,Paid,LinkedIn,01-06-2024
ysingh@morrisinc.com,https://assetmanagement.com/about-us,Page View,243,Paid,Newsletter,24-06-2024
reginaschmidt@hawkinsplc.com,https://assetmanagement.com/products/real-estate,Product View,287,Paid,LinkedIn,17-09-2024
michellewilliams@hodge-schmidt.com,https://assetmanagement.com/insights/quarterly-report,Page View,121,Referral,LinkedIn,27-10-2024
joshuapark@murray-kirk.com,https://assetmanagement.com/video/investment-strategies,Video View,176,Paid,LinkedIn,21-06-2024
cheryl98@davisinc.com,https://assetmanagement.com/insights,Page View,75,Organic,Newsletter,04-01-2025
cooperthomas@king-peterson.com,https://assetmanagement.com/products/etf,Product View,64,Referral,Newsletter,24-07-2024
bowerskimberly@harrellwongandwilliams.com,https://assetmanagement.com/products/esg,Product View,235,Email,Newsletter Campaign,06-08-2024
llarsen@rowlandhernandezandarnold.com,https://assetmanagement.com/products/fixed-income,Product View,137,Email,Newsletter Campaign,10-06-2024
nataliecarter@strongltd.com,https://assetmanagement.com/video/market-trends,Video View,162,Direct,Newsletter,02-09-2024
lawrencelittle@ellisltd.com,https://assetmanagement.com/contact-us,Form Submission,198,Direct,LinkedIn,28-06-2024
reedjoseph@peckplc.com,https://assetmanagement.com/about-us,Page View,91,Email,Newsletter Campaign,22-11-2024
stephanie05@chanjamesandlawson.com,https://assetmanagement.com/products/real-estate,Product View,65,Email,Newsletter Campaign,04-06-2024
kenneth60@clark-cox.com,https://assetmanagement.com/insights/quarterly-report,Page View,184,Paid,Newsletter,08-08-2024
adamsmarie@hopkinsporterandjimenez.com,https://assetmanagement.com/video/investment-strategies,Video View,283,Email,Newsletter Campaign,10-06-2024
zcampbell@hill-williams.com,https://assetmanagement.com/insights,Page View,221,Direct,Newsletter,18-08-2024
ruth02@armstrongplc.com,https://assetmanagement.com/products/etf,Product View,149,Email,Newsletter Campaign,07-07-2024
leonardpotter@henderson-rodriguez.com,https://assetmanagement.com/products/esg,Product View,148,Email,Newsletter Campaign,21-12-2024
kthomas@johnsonhernandezandrowe.com,https://assetmanagement.com/products/fixed-income,Product View,56,Organic,LinkedIn,24-11-2024
michaelromero@morris-ryan.com,https://assetmanagement.com/video/market-trends,Video View,206,Referral,LinkedIn,03-12-2024
dawnsmith@jamesreyesandrhodes.com,https://assetmanagement.com/contact-us,Form Submission,230,Referral,LinkedIn,15-10-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/about-us,Page View,180,Paid,Google,14-06-2024
toniaustin@lee-wu.com,https://assetmanagement.com/products/real-estate,Product View,282,Email,Newsletter Campaign,01-09-2024
kristen09@graygroup.com,https://assetmanagement.com/insights/quarterly-report,Page View,234,Direct,Google,07-06-2024
walter26@farrellericksonandfrost.com,https://assetmanagement.com/video/investment-strategies,Video View,124,Direct,Newsletter,25-06-2024
lauren40@jameslynnandoneill.com,https://assetmanagement.com/insights,Page View,79,Referral,Google,13-10-2024
williejohnson@montgomery-zimmerman.com,https://assetmanagement.com/products/fixed-income,Product View,345,Organic,Google,15-01-2025
nataliecarter@strongltd.com,https://assetmanagement.com/products/esg,Product View,240,Email,Newsletter Campaign,24-09-2024
goconnor@long-johnson.com,https://assetmanagement.com/products/fixed-income,Product View,205,Email,Newsletter Campaign,14-08-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/video/market-trends,Video View,88,Email,Newsletter Campaign,27-10-2024
shawlance@rodrigueztaylorandmeyers.com,https://assetmanagement.com/contact-us,Form Submission,123,Email,Newsletter Campaign,16-06-2024
bradcurtis@long-molina.com,https://assetmanagement.com/about-us,Page View,69,Email,Newsletter Campaign,25-11-2024
emorris@moorejamesandgreen.com,https://assetmanagement.com/products/real-estate,Product View,75,Referral,Newsletter,25-07-2024
robert77@williams-cummings.com,https://assetmanagement.com/insights/quarterly-report,Page View,287,Paid,LinkedIn,22-12-2024
eanderson@harringtonbanksandhill.com,https://assetmanagement.com/video/investment-strategies,Video View,56,Organic,Google,16-09-2024
nicholsonapril@nashplc.com,https://assetmanagement.com/insights,Page View,228,Paid,Google,11-12-2024
duane85@jackson-sanchez.com,https://assetmanagement.com/products/etf,Product View,117,Organic,Newsletter,10-12-2024
penningtontristan@nguyenclarkandwilliams.com,https://assetmanagement.com/products/esg,Product View,256,Paid,Newsletter,19-11-2024
emilyrobinson@dunnvillarrealandcastro.com,https://assetmanagement.com/products/fixed-income,Product View,184,Direct,LinkedIn,25-12-2024
scarr@sullivankhanandjacobs.com,https://assetmanagement.com/video/market-trends,Video View,153,Email,Newsletter Campaign,22-12-2024
jonesmelissa@martinez-mcmahon.com,https://assetmanagement.com/contact-us,Form Submission,88,Email,Newsletter Campaign,09-07-2024
ashley99@wolfskinnerandbarrera.com,https://assetmanagement.com/about-us,Page View,265,Email,Newsletter Campaign,29-07-2024
craig06@smith-cole.com,https://assetmanagement.com/products/real-estate,Product View,124,Email,Newsletter Campaign,26-11-2024
sfletcher@evans-mullins.com,https://assetmanagement.com/insights/quarterly-report,Page View,105,Organic,Newsletter,20-08-2024
jacksonjaime@powellinc.com,https://assetmanagement.com/video/investment-strategies,Video View,173,Organic,Newsletter,25-11-2024
vcharles@guzman-cook.com,https://assetmanagement.com/insights,Page View,294,Referral,Newsletter,17-11-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/products/etf,Product View,136,Email,Newsletter Campaign,11-12-2024
jessicaelliott@fitzpatrick-smith.com,https://assetmanagement.com/products/esg,Product View,141,Email,Newsletter Campaign,01-01-2025
evanslindsay@wardplc.com,https://assetmanagement.com/products/fixed-income,Product View,200,Organic,Google,07-06-2024
coreyharrell@norris-brown.com,https://assetmanagement.com/video/market-trends,Video View,56,Direct,LinkedIn,04-06-2024
elizabethshaffer@warrengroup.com,https://assetmanagement.com/contact-us,Form Submission,141,Organic,Google,06-11-2024
caitlinhill@christensen-brown.com,https://assetmanagement.com/about-us,Page View,67,Paid,LinkedIn,25-10-2024
nrose@gordonwintersandgomez.com,https://assetmanagement.com/products/real-estate,Product View,196,Referral,Newsletter,14-09-2024
stewartmegan@gamblellc.com,https://assetmanagement.com/insights/quarterly-report,Page View,257,Organic,Google,12-12-2024
rebecca81@mayplc.com,https://assetmanagement.com/video/investment-strategies,Video View,300,Direct,Newsletter,10-07-2024
mariacollins@pattersonyatesandfox.com,https://assetmanagement.com/insights,Page View,58,Email,Newsletter Campaign,27-10-2024
barrychapman@harrelllongandduran.com,https://assetmanagement.com/products/etf,Product View,152,Email,Newsletter Campaign,21-09-2024
doris66@franklingroup.com,https://assetmanagement.com/products/esg,Product View,226,Paid,Google,11-07-2024
reedjoseph@peckplc.com,https://assetmanagement.com/products/fixed-income,Product View,47,Organic,Google,25-09-2024
scottjoyce@lopezmooreandwilliamson.com,https://assetmanagement.com/video/market-trends,Video View,136,Paid,Newsletter,03-10-2024
billy40@wright-parker.com,https://assetmanagement.com/contact-us,Form Submission,54,Email,Newsletter Campaign,14-08-2024
barrychapman@harrelllongandduran.com,https://assetmanagement.com/about-us,Page View,173,Direct,LinkedIn,24-11-2024
kbarker@johnsonkrauseandelliott.com,https://assetmanagement.com/products/real-estate,Product View,72,Organic,LinkedIn,20-07-2024
brittneywashington@osborne-howard.com,https://assetmanagement.com/insights/quarterly-report,Page View,81,Email,Newsletter Campaign,04-11-2024
julie27@taylor-erickson.com,https://assetmanagement.com/video/investment-strategies,Video View,197,Direct,LinkedIn,29-07-2024
brianschultz@vaughninc.com,https://assetmanagement.com/insights,Page View,241,Email,Newsletter Campaign,14-11-2024
wilkersongregory@smithsmithandgriffin.com,https://assetmanagement.com/products/etf,Product View,293,Direct,LinkedIn,03-07-2024
xjones@martinezplc.com,https://assetmanagement.com/products/esg,Product View,228,Referral,LinkedIn,21-07-2024
kevin02@hoodharrisonandblackwell.com,https://assetmanagement.com/products/fixed-income,Product View,147,Email,Newsletter Campaign,13-09-2024
mariacollins@pattersonyatesandfox.com,https://assetmanagement.com/video/market-trends,Video View,34,Email,Newsletter Campaign,22-06-2024
brandontran@parsonscarlsonandyork.com,https://assetmanagement.com/contact-us,Form Submission,126,Email,Newsletter Campaign,29-11-2024
williejohnson@montgomery-zimmerman.com,https://assetmanagement.com/products/esg,Product View,280,Email,Event Invitation,28-12-2024
stephenvazquez@smithinc.com,https://assetmanagement.com/products/real-estate,Product View,274,Email,Newsletter Campaign,27-06-2024
rcampbell@rossyatesandnelson.com,https://assetmanagement.com/insights/quarterly-report,Page View,300,Direct,Google,19-06-2024
elizabethshaffer@warrengroup.com,https://assetmanagement.com/video/investment-strategies,Video View,35,Email,Newsletter Campaign,27-07-2024
joneskaren@rodriguezltd.com,https://assetmanagement.com/insights,Page View,82,Email,Newsletter Campaign,27-08-2024
adamsmarie@hopkinsporterandjimenez.com,https://assetmanagement.com/products/etf,Product View,145,Paid,LinkedIn,24-06-2024
emorris@moorejamesandgreen.com,https://assetmanagement.com/products/esg,Product View,207,Direct,Google,30-09-2024
nataliecarter@strongltd.com,https://assetmanagement.com/products/fixed-income,Product View,231,Paid,LinkedIn,26-06-2024
kevin02@hoodharrisonandblackwell.com,https://assetmanagement.com/video/market-trends,Video View,131,Email,Newsletter Campaign,04-12-2024
shawlance@rodrigueztaylorandmeyers.com,https://assetmanagement.com/contact-us,Form Submission,274,Email,Newsletter Campaign,22-10-2024
nnunez@petersonhermanandmiller.com,https://assetmanagement.com/about-us,Page View,40,Organic,Newsletter,21-10-2024
russelllinda@carlsonallenandjackson.com,https://assetmanagement.com/products/real-estate,Product View,90,Direct,LinkedIn,02-09-2024
geoffrey61@adamshoffmanandsims.com,https://assetmanagement.com/insights/quarterly-report,Page View,83,Paid,LinkedIn,02-06-2024
jessicaelliott@fitzpatrick-smith.com,https://assetmanagement.com/video/investment-strategies,Video View,157,Email,Newsletter Campaign,13-11-2024
jennifergutierrez@anderson-clark.com,https://assetmanagement.com/video/investment-strategies,Video View,250,Paid,Twitter,21-11-2024
johnsonmisty@chamberspageandwhitaker.com,https://assetmanagement.com/products/etf,Product View,49,Referral,Newsletter,04-08-2024
barrychapman@harrelllongandduran.com,https://assetmanagement.com/products/esg,Product View,180,Organic,LinkedIn,06-11-2024
hector56@halelopezandcarter.com,https://assetmanagement.com/products/fixed-income,Product View,62,Organic,LinkedIn,15-11-2024
nguyenjames@gould-brown.com,https://assetmanagement.com/video/market-trends,Video View,108,Email,Investment Update,02-10-2024
robert84@martinez-harris.com,https://assetmanagement.com/contact-us,Form Submission,44,Direct,LinkedIn,30-11-2024
reedjoseph@peckplc.com,https://assetmanagement.com/about-us,Page View,264,Email,Investment Update,03-01-2025
ericduncan@levyinc.com,https://assetmanagement.com/products/real-estate,Product View,210,Referral,Google,17-09-2024
ericduncan@levyinc.com,https://assetmanagement.com/insights/quarterly-report,Page View,174,Email,Newsletter Campaign,17-07-2024
bradcurtis@long-molina.com,https://assetmanagement.com/video/investment-strategies,Video View,55,Direct,Google,25-09-2024
ediaz@leeltd.com,https://assetmanagement.com/insights,Page View,184,Direct,Newsletter,18-06-2024
jessicarobertson@rogers-castro.com,https://assetmanagement.com/insights/quarterly-report,Page View,132,Referral,Newsletter,19-11-2024
nhooper@garcia-turner.com,https://assetmanagement.com/products/esg,Product View,66,Referral,LinkedIn,03-11-2024
jordan57@robinsonandsons.com,https://assetmanagement.com/products/fixed-income,Product View,86,Referral,Newsletter,21-09-2024
dpineda@gonzalez-fields.com,https://assetmanagement.com/video/market-trends,Video View,179,Email,Investment Update,13-08-2024
julie27@taylor-erickson.com,https://assetmanagement.com/contact-us,Form Submission,135,Paid,Google,12-10-2024
moorekevin@walsh-pruitt.com,https://assetmanagement.com/about-us,Page View,251,Organic,Newsletter,09-07-2024
ericduncan@levyinc.com,https://assetmanagement.com/products/real-estate,Product View,75,Organic,Newsletter,03-07-2024
gilesnicole@gonzalezltd.com,https://assetmanagement.com/insights/quarterly-report,Page View,222,Email,Investment Update,15-06-2024
qwilliams@price-martinez.com,https://assetmanagement.com/video/investment-strategies,Video View,44,Referral,Newsletter,24-10-2024
mallorybarajas@forbes-brooks.com,https://assetmanagement.com/insights,Page View,177,Paid,LinkedIn,13-10-2024
michellewilliams@hodge-schmidt.com,https://assetmanagement.com/products/etf,Product View,163,Organic,Google,28-06-2024
llarsen@rowlandhernandezandarnold.com,https://assetmanagement.com/products/esg,Product View,139,Organic,Google,15-08-2024
oprice@olsenltd.com,https://assetmanagement.com/products/fixed-income,Product View,53,Email,Investment Update,20-10-2024
rebecca81@mayplc.com,https://assetmanagement.com/video/market-trends,Video View,177,Referral,LinkedIn,12-10-2024
christina05@campbellhillandparrish.com,https://assetmanagement.com/contact-us,Form Submission,37,Email,Investment Update,28-07-2024
angelsheppard@forbesltd.com,https://assetmanagement.com/about-us,Page View,237,Direct,Newsletter,01-11-2024
karafuentes@williamsplc.com,https://assetmanagement.com/products/real-estate,Product View,282,Direct,Google,26-06-2024
bakerian@adams-wagner.com,https://assetmanagement.com/insights/quarterly-report,Page View,296,Referral,LinkedIn,17-06-2024
bradcurtis@long-molina.com,https://assetmanagement.com/video/investment-strategies,Video View,221,Direct,Google,24-11-2024
stewartamanda@bullockburnsandstevens.com,https://assetmanagement.com/insights,Page View,95,Paid,Google,23-07-2024
robert08@jonesevansandallen.com,https://assetmanagement.com/products/etf,Product View,152,Referral,LinkedIn,14-12-2024
davischristine@garciapaceandyoung.com,https://assetmanagement.com/products/esg,Product View,118,Email,Newsletter Campaign,05-11-2024
nhooper@garcia-turner.com,https://assetmanagement.com/products/fixed-income,Product View,142,Email,Investment Update,27-07-2024
barajasbenjamin@donaldsonmartinandbarton.com,https://assetmanagement.com/video/market-trends,Video View,53,Email,Newsletter Campaign,16-09-2024
jennifergutierrez@anderson-clark.com,https://assetmanagement.com/products/etf,Product View,179,Organic,Newsletter,19-11-2024
millersarah@brown-rodriguez.com,https://assetmanagement.com/about-us,Page View,165,Email,Investment Update,15-10-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/products/real-estate,Product View,161,Organic,Newsletter,28-11-2024
christina05@campbellhillandparrish.com,https://assetmanagement.com/insights/quarterly-report,Page View,138,Email,Investment Update,05-12-2024
feliciakennedy@simon-morales.com,https://assetmanagement.com/video/investment-strategies,Video View,61,Email,Newsletter Campaign,07-12-2024
ernestflores@ortiz-thomas.com,https://assetmanagement.com/insights,Page View,220,Paid,LinkedIn,30-12-2024
jwalker@thomasplc.com,https://assetmanagement.com/products/etf,Product View,281,Organic,Google,14-09-2024
evanslindsay@wardplc.com,https://assetmanagement.com/products/esg,Product View,202,Organic,LinkedIn,30-08-2024
coreyharrell@norris-brown.com,https://assetmanagement.com/products/fixed-income,Product View,57,Email,Newsletter Campaign,04-11-2024
rhurst@larsongroup.com,https://assetmanagement.com/video/market-trends,Video View,277,Organic,LinkedIn,28-11-2024
gary92@camachoinc.com,https://assetmanagement.com/contact-us,Form Submission,179,Email,Newsletter Campaign,09-10-2024
mallorybarajas@forbes-brooks.com,https://assetmanagement.com/about-us,Page View,87,Email,Investment Update,01-06-2024
nathan25@lozanofloresandneal.com,https://assetmanagement.com/products/real-estate,Product View,102,Email,Investment Update,25-10-2024
tina09@woodandsons.com,https://assetmanagement.com/insights/quarterly-report,Page View,69,Organic,Newsletter,07-11-2024
wdelacruz@hillandsons.com,https://assetmanagement.com/video/investment-strategies,Video View,76,Email,Investment Update,05-10-2024
gilesnicole@gonzalezltd.com,https://assetmanagement.com/insights,Page View,297,Referral,Newsletter,09-07-2024
feliciakennedy@simon-morales.com,https://assetmanagement.com/products/etf,Product View,214,Organic,LinkedIn,21-12-2024
hector56@halelopezandcarter.com,https://assetmanagement.com/products/esg,Product View,210,Organic,Google,10-07-2024
ksummers@larsonltd.com,https://assetmanagement.com/products/fixed-income,Product View,195,Referral,LinkedIn,22-07-2024
peter01@atkinsonwrightandbrown.com,https://assetmanagement.com/video/market-trends,Video View,141,Email,Investment Update,29-11-2024
christina05@campbellhillandparrish.com,https://assetmanagement.com/contact-us,Form Submission,250,Organic,Newsletter,11-08-2024
walter26@farrellericksonandfrost.com,https://assetmanagement.com/about-us,Page View,122,Email,Investment Update,19-12-2024
dawnsmith@jamesreyesandrhodes.com,https://assetmanagement.com/products/real-estate,Product View,88,Email,Newsletter Campaign,29-09-2024
lsutton@jacobsgroup.com,https://assetmanagement.com/products/esg,Product View,158,Organic,Newsletter,18-11-2024
vasquezerica@stronggonzalezandmorales.com,https://assetmanagement.com/video/investment-strategies,Video View,185,Referral,Newsletter,05-06-2024
julie76@wood-frey.com,https://assetmanagement.com/insights,Page View,282,Email,Newsletter Campaign,29-06-2024
meganvaldez@evanshowellandyoung.com,https://assetmanagement.com/products/etf,Product View,220,Direct,LinkedIn,26-10-2024
mccartyrichard@waltonwebsterandpatrick.com,https://assetmanagement.com/insights/quarterly-report,Page View,159,Paid,LinkedIn,18-11-2024
geoffrey61@adamshoffmanandsims.com,https://assetmanagement.com/products/fixed-income,Product View,93,Email,Investment Update,09-07-2024
toniaustin@lee-wu.com,https://assetmanagement.com/video/market-trends,Video View,130,Email,Newsletter Campaign,18-11-2024
milesbrett@bowenpittsandhansen.com,https://assetmanagement.com/contact-us,Form Submission,217,Email,Newsletter Campaign,01-07-2024
shannon61@becker-phillips.com,https://assetmanagement.com/about-us,Page View,242,Direct,LinkedIn,11-08-2024
marcusmay@deanllc.com,https://assetmanagement.com/products/real-estate,Product View,162,Direct,Newsletter,16-09-2024
mary27@carneyspencerandsantos.com,https://assetmanagement.com/insights/quarterly-report,Page View,211,Email,Investment Update,08-10-2024
amy39@powellparkerandchavez.com,https://assetmanagement.com/insights/quarterly-report,Page View,59,Referral,LinkedIn,17-11-2024
davischristine@garciapaceandyoung.com,https://assetmanagement.com/insights,Page View,98,Referral,Newsletter,28-08-2024
mary27@carneyspencerandsantos.com,https://assetmanagement.com/products/etf,Product View,153,Referral,Newsletter,13-11-2024
millersarah@brown-rodriguez.com,https://assetmanagement.com/products/esg,Product View,164,Email,Newsletter Campaign,03-10-2024
holmesmary@johnson-silva.com,https://assetmanagement.com/products/fixed-income,Product View,243,Email,Newsletter Campaign,25-12-2024
barajasbenjamin@donaldsonmartinandbarton.com,https://assetmanagement.com/video/market-trends,Video View,135,Email,Newsletter Campaign,23-10-2024
ramirezheather@wilsonplc.com,https://assetmanagement.com/contact-us,Form Submission,290,Organic,Newsletter,09-11-2024
alicia78@jamesmillerandpineda.com,https://assetmanagement.com/about-us,Page View,147,Direct,Newsletter,24-10-2024
caitlinhill@christensen-brown.com,https://assetmanagement.com/products/real-estate,Product View,189,Email,Newsletter Campaign,28-11-2024
duane85@jackson-sanchez.com,https://assetmanagement.com/insights/quarterly-report,Page View,239,Organic,LinkedIn,09-09-2024
nataliecarter@strongltd.com,https://assetmanagement.com/video/investment-strategies,Video View,125,Email,Newsletter Campaign,01-12-2024
kaitlynblankenship@blackwellsandwalker.com,https://assetmanagement.com/insights,Page View,140,Email,Investment Update,30-06-2024
velezedward@dean-mcmillan.com,https://assetmanagement.com/products/etf,Product View,168,Email,Investment Update,12-12-2024
robert77@williams-cummings.com,https://assetmanagement.com/products/esg,Product View,194,Email,Investment Update,23-08-2024
mallorybarajas@forbes-brooks.com,https://assetmanagement.com/products/fixed-income,Product View,246,Email,Newsletter Campaign,29-08-2024
emorris@moorejamesandgreen.com,https://assetmanagement.com/video/market-trends,Video View,259,Email,Investment Update,12-07-2024
alicia78@jamesmillerandpineda.com,https://assetmanagement.com/contact-us,Form Submission,118,Direct,LinkedIn,09-07-2024
nataliecarter@strongltd.com,https://assetmanagement.com/about-us,Page View,33,Organic,Newsletter,14-12-2024
maciasoscar@lee-lyons.com,https://assetmanagement.com/products/real-estate,Product View,196,Email,Newsletter Campaign,22-06-2024
ruth02@armstrongplc.com,https://assetmanagement.com/insights/quarterly-report,Page View,160,Email,Investment Update,07-06-2024
jonathan23@chunggroup.com,https://assetmanagement.com/video/investment-strategies,Video View,56,Organic,Google,02-01-2025
jessicarobertson@rogers-castro.com,https://assetmanagement.com/contact-us,Form Submission,228,Referral,Google,16-11-2024
millersarah@brown-rodriguez.com,https://assetmanagement.com/products/etf,Product View,73,Email,Newsletter Campaign,28-11-2024
xrodriguez@millerwatsonandberg.com,https://assetmanagement.com/products/esg,Product View,102,Email,Newsletter Campaign,27-10-2024
brianschultz@vaughninc.com,https://assetmanagement.com/products/fixed-income,Product View,285,Organic,Google,20-12-2024
rflores@mccann-johnson.com,https://assetmanagement.com/video/market-trends,Video View,37,Referral,LinkedIn,23-07-2024
ykim@ingraminc.com,https://assetmanagement.com/contact-us,Form Submission,58,Organic,Google,03-06-2024
qwilliams@price-martinez.com,https://assetmanagement.com/about-us,Page View,155,Referral,LinkedIn,21-10-2024
banderson@jordanltd.com,https://assetmanagement.com/products/real-estate,Product View,212,Direct,Google,13-10-2024
williamshelton@gibsonwelchandtaylor.com,https://assetmanagement.com/insights/quarterly-report,Page View,189,Email,Newsletter Campaign,06-01-2025
ebonybentley@adamsplc.com,https://assetmanagement.com/video/investment-strategies,Video View,134,Email,Investment Update,24-11-2024
paula73@dudleyvaldezandwarren.com,https://assetmanagement.com/insights,Page View,108,Email,Newsletter Campaign,11-10-2024
ryan57@patelinc.com,https://assetmanagement.com/products/etf,Product View,140,Referral,Newsletter,09-11-2024
michaelyoung@leeshawandhall.com,https://assetmanagement.com/products/esg,Product View,237,Organic,LinkedIn,18-11-2024
bhines@leeinc.com,https://assetmanagement.com/products/fixed-income,Product View,283,Email,Investment Update,18-07-2024
kenneth60@clark-cox.com,https://assetmanagement.com/video/market-trends,Video View,281,Organic,Google,09-12-2024
johnsonmisty@chamberspageandwhitaker.com,https://assetmanagement.com/contact-us,Form Submission,189,Email,Investment Update,11-09-2024
coreyharrell@norris-brown.com,https://assetmanagement.com/about-us,Page View,152,Direct,Google,16-06-2024
michaelromero@morris-ryan.com,https://assetmanagement.com/products/real-estate,Product View,267,Email,Investment Update,05-08-2024
julie76@wood-frey.com,https://assetmanagement.com/insights/quarterly-report,Page View,299,Direct,Google,30-12-2024
brandontran@parsonscarlsonandyork.com,https://assetmanagement.com/video/investment-strategies,Video View,156,Organic,Newsletter,05-12-2024
maciasoscar@lee-lyons.com,https://assetmanagement.com/insights,Page View,56,Referral,Google,13-08-2024
michaelromero@morris-ryan.com,https://assetmanagement.com/products/etf,Product View,298,Paid,Google,08-10-2024
michaelbriggs@rogersgroup.com,https://assetmanagement.com/products/esg,Product View,40,Email,Investment Update,15-08-2024
mariacollins@pattersonyatesandfox.com,https://assetmanagement.com/products/fixed-income,Product View,243,Referral,Google,14-09-2024
eparker@aliwhiteandkim.com,https://assetmanagement.com/video/market-trends,Video View,176,Referral,LinkedIn,16-12-2024
williejohnson@montgomery-zimmerman.com,https://assetmanagement.com/products/esg,Product View,187,Referral,LinkedIn,28-12-2024
bowerskimberly@harrellwongandwilliams.com,https://assetmanagement.com/about-us,Page View,213,Organic,Newsletter,11-11-2024
linelizabeth@richardsbrooksandmarshall.com,https://assetmanagement.com/products/real-estate,Product View,297,Direct,Newsletter,05-12-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/insights/quarterly-report,Page View,187,Email,Newsletter Campaign,11-07-2024
lsutton@jacobsgroup.com,https://assetmanagement.com/video/investment-strategies,Video View,297,Paid,Twitter,15-11-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/insights,Page View,63,Email,Investment Update,02-06-2024
campbellpeggy@robinsonandsons.com,https://assetmanagement.com/products/etf,Product View,211,Email,Investment Update,30-09-2024
lsutton@jacobsgroup.com,https://assetmanagement.com/about-us,Page View,96,Email,Newsletter Campaign,14-11-2024
kbarker@johnsonkrauseandelliott.com,https://assetmanagement.com/products/fixed-income,Product View,146,Paid,LinkedIn,30-06-2024
colemanivan@cookhowardandrandall.com,https://assetmanagement.com/products/real-estate,Product View,111,Direct,LinkedIn,14-11-2024
lawrencelittle@ellisltd.com,https://assetmanagement.com/contact-us,Form Submission,201,Paid,Newsletter,06-09-2024
bergerkenneth@woodsllc.com,https://assetmanagement.com/about-us,Page View,283,Email,Investment Update,23-07-2024
bairdpeter@mcdanielltd.com,https://assetmanagement.com/products/real-estate,Product View,280,Email,Newsletter Campaign,25-06-2024
jcook@savage-calhoun.com,https://assetmanagement.com/insights/quarterly-report,Page View,136,Referral,LinkedIn,06-06-2024
amy39@powellparkerandchavez.com,https://assetmanagement.com/products/real-estate,Product View,300,Organic,Google,10-11-2024
jody98@webbpowellandtucker.com,https://assetmanagement.com/insights,Page View,39,Email,Newsletter Campaign,24-09-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/products/etf,Product View,145,Direct,Google,03-08-2024
kyle39@kane-steele.com,https://assetmanagement.com/products/esg,Product View,111,Direct,Google,01-01-2025
dpineda@gonzalez-fields.com,https://assetmanagement.com/products/fixed-income,Product View,196,Email,Investment Update,13-11-2024
paula73@dudleyvaldezandwarren.com,https://assetmanagement.com/video/market-trends,Video View,180,Email,Newsletter Campaign,12-07-2024
reginaschmidt@hawkinsplc.com,https://assetmanagement.com/contact-us,Form Submission,265,Paid,Google,09-06-2024
fgriffith@wellslewisandjohnson.com,https://assetmanagement.com/about-us,Page View,206,Paid,Newsletter,27-12-2024
rebecca81@mayplc.com,https://assetmanagement.com/products/real-estate,Product View,254,Direct,Newsletter,18-08-2024
osmith@hendersoninc.com,https://assetmanagement.com/insights/quarterly-report,Page View,288,Email,Newsletter Campaign,14-08-2024
walter26@farrellericksonandfrost.com,https://assetmanagement.com/video/investment-strategies,Video View,300,Organic,Newsletter,16-08-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/insights,Page View,234,Email,Newsletter Campaign,25-07-2024
ruizrichard@collinsllc.com,https://assetmanagement.com/products/etf,Product View,178,Email,Investment Update,06-11-2024
duane85@jackson-sanchez.com,https://assetmanagement.com/products/esg,Product View,54,Paid,LinkedIn,27-08-2024
dpineda@gonzalez-fields.com,https://assetmanagement.com/products/fixed-income,Product View,289,Referral,Newsletter,03-10-2024
evanslindsay@wardplc.com,https://assetmanagement.com/video/market-trends,Video View,53,Referral,Newsletter,04-06-2024
osmith@hendersoninc.com,https://assetmanagement.com/contact-us,Form Submission,45,Email,Investment Update,27-08-2024
michael64@brown-watson.com,https://assetmanagement.com/about-us,Page View,228,Email,Investment Update,05-01-2025
alexandriavalencia@mendeztranandmiller.com,https://assetmanagement.com/products/real-estate,Product View,148,Direct,Newsletter,30-12-2024
emilyrobinson@dunnvillarrealandcastro.com,https://assetmanagement.com/insights/quarterly-report,Page View,96,Email,Newsletter Campaign,14-12-2024
boltonkendra@kempmartinandwalker.com,https://assetmanagement.com/video/investment-strategies,Video View,217,Email,Investment Update,06-01-2025
penningtontristan@nguyenclarkandwilliams.com,https://assetmanagement.com/insights,Page View,222,Email,Investment Update,02-10-2024
mmartinez@jonesplc.com,https://assetmanagement.com/products/esg,Product View,91,Organic,Newsletter,09-11-2024
tamarahernandez@mitchellandsons.com,https://assetmanagement.com/contact-us,Form Submission,272,Email,Event Invitation,07-11-2024
eparker@aliwhiteandkim.com,https://assetmanagement.com/products/fixed-income,Product View,190,Email,Newsletter Campaign,06-12-2024
greeramy@garciahayesandbaker.com,https://assetmanagement.com/video/market-trends,Video View,89,Direct,Newsletter,25-11-2024
holmesmary@johnson-silva.com,https://assetmanagement.com/contact-us,Form Submission,50,Paid,LinkedIn,27-12-2024
